,name,date,marketcap,volume,average price
50,bored-ape-yacht-club,"Mar 28, 2022(UTC)","$954,543,608.24","$7,270,302.38",108.5231878 ETH
51,bored-ape-yacht-club,"Mar 29, 2022(UTC)","$957,053,094.85","$5,722,407.11",119.95053228 ETH
52,bored-ape-yacht-club,"Mar 30, 2022(UTC)","$959,695,420.46","$6,220,637.75",114.24352373 ETH
53,bored-ape-yacht-club,"Mar 31, 2022(UTC)","$963,500,828.86","$7,039,812.89",123.28361435 ETH
54,bored-ape-yacht-club,"Apr 01, 2022(UTC)","$967,665,200.44","$7,751,787.71",122.49351579 ETH
55,bored-ape-yacht-club,"Apr 02, 2022(UTC)","$969,128,793.65","$3,593,091.78",147.14260758 ETH
56,bored-ape-yacht-club,"Apr 03, 2022(UTC)","$971,051,114.05","$3,963,425.93",113.49874951 ETH
57,bored-ape-yacht-club,"Apr 04, 2022(UTC)","$973,110,180.37","$5,172,720.24",114.46251734 ETH
58,bored-ape-yacht-club,"Apr 05, 2022(UTC)","$976,108,915.26","$5,513,165.93",121.9409196 ETH
59,bored-ape-yacht-club,"Apr 06, 2022(UTC)","$977,232,252.87","$3,055,514.42",114.01637319 ETH
60,art-blocks,"Mar 08, 2022(UTC)","$832,819,279.47","$830,427.44",2.97084251 ETH
61,art-blocks,"Mar 09, 2022(UTC)","$832,909,934.47","$322,365.31",1.38511191 ETH
62,art-blocks,"Mar 10, 2022(UTC)","$832,806,002.71","$216,360.56",0.57679362 ETH
63,art-blocks,"Mar 11, 2022(UTC)","$832,741,593.76","$389,149.26",1.50677649 ETH
64,art-blocks,"Mar 12, 2022(UTC)","$832,561,302.19","$256,405.98",0.7454124 ETH
65,art-blocks,"Mar 13, 2022(UTC)","$832,882,254.24","$588,807.77",2.05252252 ETH
66,art-blocks,"Mar 14, 2022(UTC)","$833,091,657.38","$544,446.89",2.12482281 ETH
67,art-blocks,"Mar 15, 2022(UTC)","$833,841,960.15","$1,041,514.60",3.57962868 ETH
68,art-blocks,"Mar 16, 2022(UTC)","$833,772,243.67","$373,478.46",1.20531602 ETH
69,art-blocks,"Mar 17, 2022(UTC)","$833,443,983.46","$734,348.03",2.91431315 ETH
70,art-blocks,"Mar 18, 2022(UTC)","$834,080,905.46","$823,983.76",3.54296633 ETH
71,art-blocks,"Mar 19, 2022(UTC)","$834,105,553.40","$309,558.90",0.93499385 ETH
72,art-blocks,"Mar 20, 2022(UTC)","$834,135,309.44","$113,823.64",0.86777463 ETH
73,art-blocks,"Mar 21, 2022(UTC)","$836,047,125.52","$2,392,810.97",1.31455161 ETH
74,art-blocks,"Mar 22, 2022(UTC)","$836,997,655.45","$1,292,720.71",1.16539213 ETH
75,art-blocks,"Mar 23, 2022(UTC)","$837,851,601.92","$1,577,800.90",2.28065945 ETH
76,art-blocks,"Mar 24, 2022(UTC)","$839,485,572.41","$2,199,217.61",5.58714372 ETH
77,art-blocks,"Mar 25, 2022(UTC)","$839,855,360.73","$981,930.12",0.75372349 ETH
78,art-blocks,"Mar 26, 2022(UTC)","$839,942,618.04","$399,549.96",0.73975238 ETH
79,art-blocks,"Mar 27, 2022(UTC)","$840,021,594.01","$388,809.84",1.17839934 ETH
80,art-blocks,"Mar 28, 2022(UTC)","$840,146,287.38","$451,956.25",1.93886396 ETH
81,art-blocks,"Mar 29, 2022(UTC)","$839,990,011.61","$801,730.81",0.663464 ETH
82,art-blocks,"Mar 30, 2022(UTC)","$840,175,174.68","$260,956.04",0.35769922 ETH
83,art-blocks,"Mar 31, 2022(UTC)","$840,052,987.60","$421,465.33",1.09946464 ETH
84,art-blocks,"Apr 01, 2022(UTC)","$840,740,304.97","$986,410.55",2.67602223 ETH
85,art-blocks,"Apr 02, 2022(UTC)","$841,382,186.49","$858,407.17",1.36517095 ETH
86,art-blocks,"Apr 03, 2022(UTC)","$841,417,394.65","$296,479.22",0.5513363 ETH
87,art-blocks,"Apr 04, 2022(UTC)","$841,350,363.39","$196,671.64",0.47067611 ETH
88,art-blocks,"Apr 05, 2022(UTC)","$841,803,790.34","$928,787.47",1.89874615 ETH
89,art-blocks,"Apr 06, 2022(UTC)","$841,770,611.36","$130,187.23",0.42028499 ETH
90,meebits,"Mar 08, 2022(UTC)","$743,682,954.14","$7,180,471.10",56.64688393 ETH
91,meebits,"Mar 09, 2022(UTC)","$743,532,300.67","$17,632,414.31",63.53764386 ETH
92,meebits,"Mar 10, 2022(UTC)","$743,769,371.60","$17,194,681.59",49.6367464 ETH
93,meebits,"Mar 11, 2022(UTC)","$744,852,788.29","$17,326,515.70",6.33678715 ETH
94,meebits,"Mar 12, 2022(UTC)","$733,155,459.91","$24,651,138.11",18.17416884 ETH
95,meebits,"Mar 13, 2022(UTC)","$732,822,059.68","$6,316,868.72",18.87700583 ETH
96,meebits,"Mar 14, 2022(UTC)","$732,617,874.21","$20,748,121.85",75.55490891 ETH
97,meebits,"Mar 15, 2022(UTC)","$733,231,224.26","$15,761,692.44",60.69680541 ETH
98,meebits,"Mar 16, 2022(UTC)","$733,245,268.30","$1,190,723.46",5.49851555 ETH
99,meebits,"Mar 17, 2022(UTC)","$733,610,722.40","$15,415,955.06",64.81401096 ETH
100,meebits,"Mar 18, 2022(UTC)","$734,484,437.28","$4,492,701.34",19.02854294 ETH
101,meebits,"Mar 19, 2022(UTC)","$735,439,076.17","$22,562,037.42",27.50310458 ETH
102,meebits,"Mar 20, 2022(UTC)","$738,216,639.23","$23,703,554.86",104.05997306 ETH
103,meebits,"Mar 21, 2022(UTC)","$737,583,069.94","$13,667,640.54",80.55224311 ETH
104,meebits,"Mar 22, 2022(UTC)","$738,838,240.40","$15,389,978.29",99.09726386 ETH
105,meebits,"Mar 23, 2022(UTC)","$739,037,151.86","$17,306,881.12",91.29980025 ETH
106,meebits,"Mar 24, 2022(UTC)","$740,285,127.80","$4,957,038.97",25.85035315 ETH
107,meebits,"Mar 25, 2022(UTC)","$739,824,996.51","$19,236,109.61",96.08584292 ETH
108,meebits,"Mar 26, 2022(UTC)","$740,499,495.28","$19,704,629.85",88.08955226 ETH
109,meebits,"Mar 27, 2022(UTC)","$741,698,755.01","$13,042,810.16",89.84983267 ETH
110,meebits,"Mar 28, 2022(UTC)","$741,401,618.43","$16,933,814.52",142.48404717 ETH
111,meebits,"Mar 29, 2022(UTC)","$742,179,968.85","$16,946,296.47",132.18481857 ETH
112,meebits,"Mar 30, 2022(UTC)","$742,315,823.78","$17,120,686.20",144.93550284 ETH
113,meebits,"Mar 31, 2022(UTC)","$738,588,287.37","$14,483,988.89",74.83864865 ETH
114,meebits,"Apr 01, 2022(UTC)","$738,381,683.64","$9,058,791.14",57.51126546 ETH
115,meebits,"Apr 02, 2022(UTC)","$741,942,270.48","$26,221,597.80",175.23315622 ETH
116,meebits,"Apr 03, 2022(UTC)","$741,028,499.43","$21,856,728.89",89.87227867 ETH
117,meebits,"Apr 04, 2022(UTC)","$740,869,138.57","$13,961,078.31",97.16602553 ETH
118,meebits,"Apr 05, 2022(UTC)","$742,027,291.70","$18,454,380.06",109.32717904 ETH
119,meebits,"Apr 06, 2022(UTC)","$739,796,466.52","$19,996,872.78",112.15671862 ETH
120,mutant-ape-yacht-club,"Mar 08, 2022(UTC)","$474,886,913.72","$1,979,289.35",15.79321657 ETH
121,mutant-ape-yacht-club,"Mar 09, 2022(UTC)","$475,379,608.61","$1,634,127.21",15.49379766 ETH
122,mutant-ape-yacht-club,"Mar 10, 2022(UTC)","$475,842,133.40","$1,738,642.06",16.55648766 ETH
123,mutant-ape-yacht-club,"Mar 11, 2022(UTC)","$476,486,698.28","$2,596,152.82",17.70590446 ETH
124,mutant-ape-yacht-club,"Mar 12, 2022(UTC)","$477,749,806.35","$4,318,046.71",19.20152266 ETH
125,mutant-ape-yacht-club,"Mar 13, 2022(UTC)","$479,317,987.94","$5,107,160.00",21.07348811 ETH
126,mutant-ape-yacht-club,"Mar 14, 2022(UTC)","$480,306,007.55","$2,173,358.02",21.79610798 ETH
127,mutant-ape-yacht-club,"Mar 15, 2022(UTC)","$481,126,735.28","$3,483,016.98",20.91989387 ETH
128,mutant-ape-yacht-club,"Mar 16, 2022(UTC)","$487,059,193.57","$14,984,301.22",23.18907818 ETH
129,mutant-ape-yacht-club,"Mar 17, 2022(UTC)","$493,732,944.33","$24,716,279.05",20.79897331 ETH
130,mutant-ape-yacht-club,"Mar 18, 2022(UTC)","$496,820,262.56","$12,963,179.31",20.84663779 ETH
131,mutant-ape-yacht-club,"Mar 19, 2022(UTC)","$501,954,590.44","$13,847,451.19",23.01851332 ETH
132,mutant-ape-yacht-club,"Mar 20, 2022(UTC)","$504,531,592.88","$6,794,817.32",23.63342583 ETH
133,mutant-ape-yacht-club,"Mar 21, 2022(UTC)","$505,896,328.93","$4,030,796.74",23.57029611 ETH
134,mutant-ape-yacht-club,"Mar 22, 2022(UTC)","$507,663,608.51","$4,820,193.80",23.29930617 ETH
135,mutant-ape-yacht-club,"Mar 23, 2022(UTC)","$509,745,819.89","$6,348,129.83",23.71602265 ETH
136,mutant-ape-yacht-club,"Mar 24, 2022(UTC)","$514,136,921.24","$10,143,452.30",24.93373841 ETH
137,mutant-ape-yacht-club,"Mar 25, 2022(UTC)","$515,773,916.66","$3,808,704.51",24.35252794 ETH
138,mutant-ape-yacht-club,"Mar 26, 2022(UTC)","$517,790,890.06","$4,805,078.57",25.25966161 ETH
139,mutant-ape-yacht-club,"Mar 27, 2022(UTC)","$520,408,375.53","$5,433,137.52",25.88375452 ETH
140,mutant-ape-yacht-club,"Mar 28, 2022(UTC)","$522,437,936.24","$4,576,797.60",25.38641027 ETH
141,mutant-ape-yacht-club,"Mar 29, 2022(UTC)","$524,220,242.28","$3,750,935.82",22.93478528 ETH
142,mutant-ape-yacht-club,"Mar 30, 2022(UTC)","$526,043,465.64","$4,531,270.79",23.45071649 ETH
143,mutant-ape-yacht-club,"Mar 31, 2022(UTC)","$528,155,506.58","$4,914,129.10",24.08291289 ETH
144,mutant-ape-yacht-club,"Apr 01, 2022(UTC)","$530,331,831.26","$4,877,711.08",24.2587325 ETH
145,mutant-ape-yacht-club,"Apr 02, 2022(UTC)","$532,445,788.38","$4,076,840.35",23.91070236 ETH
146,mutant-ape-yacht-club,"Apr 03, 2022(UTC)","$534,024,362.10","$3,816,820.92",25.43531408 ETH
147,mutant-ape-yacht-club,"Apr 04, 2022(UTC)","$536,887,407.82","$5,763,360.78",25.48067311 ETH
148,mutant-ape-yacht-club,"Apr 05, 2022(UTC)","$541,070,639.74","$9,762,776.59",27.445915 ETH
149,mutant-ape-yacht-club,"Apr 06, 2022(UTC)","$542,584,584.33","$3,803,204.97",28.55631346 ETH
150,loot-for-adventurers,"Mar 08, 2022(UTC)","$408,828,312.86","$42,404.16",2.075625 ETH
151,loot-for-adventurers,"Mar 09, 2022(UTC)","$408,794,382.25","$24,373.25",2.26 ETH
152,loot-for-adventurers,"Mar 10, 2022(UTC)","$408,799,535.66","$5,153.41",1.98 ETH
153,loot-for-adventurers,"Mar 11, 2022(UTC)","$408,776,748.99","$23,323.48",1.79608222 ETH
154,loot-for-adventurers,"Mar 12, 2022(UTC)","$408,734,507.29","$9,012.99",1.74412912 ETH
155,loot-for-adventurers,"Mar 13, 2022(UTC)","$408,693,122.27","$3,237.93",1.26039866 ETH
156,loot-for-adventurers,"Mar 14, 2022(UTC)","$408,680,622.80","$22,581.51",2.20225 ETH
157,loot-for-adventurers,"Mar 15, 2022(UTC)","$405,676,874.66","$18,731.38",1.79 ETH
158,loot-for-adventurers,"Mar 16, 2022(UTC)","$405,552,973.18","$35,798.02",1.89267156 ETH
159,loot-for-adventurers,"Mar 17, 2022(UTC)","$405,506,158.94","$13,398.75",1.59934423 ETH
160,loot-for-adventurers,"Mar 18, 2022(UTC)","$405,452,964.72","$10,931.22",1.89 ETH
161,loot-for-adventurers,"Mar 19, 2022(UTC)","$400,847,375.26","$5,011.62",1.7 ETH
162,loot-for-adventurers,"Mar 20, 2022(UTC)","$400,816,133.47","$12,170.74",2.1 ETH
163,loot-for-adventurers,"Mar 21, 2022(UTC)","$400,673,905.62","$31,698.63",1.84466667 ETH
164,loot-for-adventurers,"Mar 22, 2022(UTC)","$400,585,225.16","$16,213.15",1.34789214 ETH
165,loot-for-adventurers,"Mar 23, 2022(UTC)","$387,082,864.07","$59,886.43",1.54446743 ETH
166,loot-for-adventurers,"Mar 24, 2022(UTC)","$386,958,216.97","$10,176.10",1.635 ETH
167,loot-for-adventurers,"Mar 25, 2022(UTC)","$383,580,770.40","$4,678.38",1.5 ETH
168,loot-for-adventurers,"Mar 26, 2022(UTC)","$383,572,297.31","$60,899.08",1.947 ETH
169,loot-for-adventurers,"Mar 27, 2022(UTC)","$383,359,599.75","$70,329.17",1.71830769 ETH
170,loot-for-adventurers,"Mar 28, 2022(UTC)","$383,227,803.04","$32,277.89",1.60883314 ETH
171,loot-for-adventurers,"Mar 29, 2022(UTC)","$383,248,705.81","$32,401.52",1.894 ETH
172,loot-for-adventurers,"Mar 30, 2022(UTC)","$383,181,027.79","$42,365.57",1.56640102 ETH
173,loot-for-adventurers,"Mar 31, 2022(UTC)","$383,141,408.05","$29,543.42",1.735 ETH
174,loot-for-adventurers,"Apr 01, 2022(UTC)","$382,981,042.61","$73,925.52",1.70928799 ETH
175,loot-for-adventurers,"Apr 02, 2022(UTC)","$382,685,640.34","$62,027.45",1.370163 ETH
176,loot-for-adventurers,"Apr 03, 2022(UTC)","$382,725,650.02","$188,156.28",2.44171153 ETH
177,loot-for-adventurers,"Apr 04, 2022(UTC)","$382,744,443.68","$151,321.66",1.98745455 ETH
178,loot-for-adventurers,"Apr 05, 2022(UTC)","$382,555,808.03","$46,774.92",1.91428571 ETH
179,loot-for-adventurers,"Apr 06, 2022(UTC)","$382,587,551.97","$51,012.75",2.18571429 ETH
